sampleTimeFine,D4:22:CD:00:A9:12_acc_x,D4:22:CD:00:A9:12_acc_y,D4:22:CD:00:A9:12_acc_z,D4:22:CD:00:A9:12_gyro_x,D4:22:CD:00:A9:12_gyro_y,D4:22:CD:00:A9:12_gyro_z,D4:22:CD:00:A9:12_quat_w,D4:22:CD:00:A9:12_quat_x,D4:22:CD:00:A9:12_quat_y,D4:22:CD:00:A9:12_quat_z,D4:22:CD:00:A1:93_acc_x,D4:22:CD:00:A1:93_acc_y,D4:22:CD:00:A1:93_acc_z,D4:22:CD:00:A1:93_gyro_x,D4:22:CD:00:A1:93_gyro_y,D4:22:CD:00:A1:93_gyro_z,D4:22:CD:00:A1:93_quat_w,D4:22:CD:00:A1:93_quat_x,D4:22:CD:00:A1:93_quat_y,D4:22:CD:00:A1:93_quat_z
1445266,-0.25687846541404724,0.43550509214401245,-0.018291592597961426,-0.44311171770095825,0.16552923619747162,-0.3250378966331482,0.646027147769928,-0.3273142874240875,-0.41694530844688416,-0.5492458343505859,0.11574456840753555,-0.2991477847099304,0.13059048354625702,0.013424358330667019,-0.04530228674411774,-0.542404294013977,0.36747315526008606,-0.5885856747627258,-0.37181177735328674,-0.6166734099388123
1445432,8.84031867980957,0.3101607859134674,4.2890448570251465,0.0218796469271183,-0.34436270594596863,0.0807376354932785,0.6460676789283752,-0.32753005623817444,-0.41692399978637695,-0.5490856766700745,9.842041015625,0.28263145685195923,0.29311713576316833,-0.2127775102853775,0.0446237288415432,0.09906351566314697,0.3673674166202545,-0.5885066986083984,-0.37206974625587463,-0.6166564226150513
1445599,8.85368824005127,0.3134116530418396,4.267434597015381,0.4618801772594452,-0.09836556762456894,0.3239814043045044,0.6462777853012085,-0.32775962352752686,-0.4169679880142212,-0.5486679077148438,9.859689712524414,0.2796272337436676,0.2945936620235443,-0.18841981887817383,0.049502938985824585,0.2902494966983795,0.3671684265136719,-0.5884858965873718,-0.37221717834472656,-0.6167058944702148
1445766,8.827975273132324,0.31867218017578125,4.272093772888184,0.7069169282913208,-0.04830554872751236,0.133653461933136,0.646198034286499,-0.3281489312648773,-0.4170491397380829,-0.5484673380851746,9.851893424987793,0.270404189825058,0.29653552174568176,-0.18009568750858307,-0.03257935121655464,0.4423889219760895,0.3667110204696655,-0.58868408203125,-0.37199971079826355,-0.6169201135635376
1446599,8.83381175994873,0.305690735578537,4.287501335144043,0.36557647585868835,0.08825497329235077,0.32363569736480713,0.6461662650108337,-0.3288363516330719,-0.41691476106643677,-0.5481952428817749,9.832446098327637,0.27736347913742065,0.3001045882701874,-0.042568307369947433,0.01902383379638195,0.5146039724349976,0.36665722727775574,-0.5887135863304138,-0.3719936013221741,-0.6169275641441345
1446766,8.807747840881348,0.3244442641735077,4.304702281951904,0.2527012825012207,-0.04409225657582283,0.3484671711921692,0.6462059020996094,-0.32889053225517273,-0.4168787896633148,-0.5481434464454651,9.877248764038086,0.2764908969402313,0.3038058876991272,0.06711166352033615,0.042292963713407516,0.7112325429916382,0.3667043149471283,-0.5887070894241333,-0.371998131275177,-0.6169031262397766
1446932,8.807400703430176,0.3036021292209625,4.296001434326172,0.4683474004268646,-0.04920199513435364,0.38105931878089905,0.6462734341621399,-0.3288819491863251,-0.41686540842056274,-0.5480791330337524,9.84119987487793,0.2818659245967865,0.3257853388786316,-0.03306599333882332,0.20808398723602295,0.6847363114356995,0.366809219121933,-0.5886619687080383,-0.3720080256462097,-0.6168777942657471
1447099,8.806568145751953,0.306691974401474,4.2591233253479,0.47263750433921814,-0.34437552094459534,0.4103858470916748,0.6463533639907837,-0.3288729190826416,-0.41689005494117737,-0.5479715466499329,9.839544296264648,0.2837076783180237,0.3069172501564026,0.05445899814367294,0.21510183811187744,0.7555937767028809,0.36680951714515686,-0.588667094707489,-0.3718737065792084,-0.6169537305831909
1447266,8.900800704956055,0.3066276013851166,4.274969577789307,0.4696280062198639,0.07392465323209763,0.522569477558136,0.6464497447013855,-0.32885023951530457,-0.4168781638145447,-0.5478804111480713,9.801286697387695,0.2678675949573517,0.31262779235839844,0.16340263187885284,0.008240886963903904,0.8527300953865051,0.3668246567249298,-0.5886891484260559,-0.37177038192749023,-0.6169859766960144
1447432,8.874382019042969,0.2639431655406952,4.230344295501709,0.44633328914642334,0.2609485685825348,0.8432276844978333,0.6465038657188416,-0.3288969099521637,-0.4168083071708679,-0.5478415489196777,9.845829010009766,0.2761581540107727,0.30294865369796753,0.15474550426006317,-0.36122870445251465,0.8275526762008667,0.3669341504573822,-0.5886847972869873,-0.371784508228302,-0.6169164776802063
