sampleTimeFine,D4:22:CD:00:A9:12_acc_x,D4:22:CD:00:A9:12_acc_y,D4:22:CD:00:A9:12_acc_z,D4:22:CD:00:A9:12_gyro_x,D4:22:CD:00:A9:12_gyro_y,D4:22:CD:00:A9:12_gyro_z,D4:22:CD:00:A9:12_quat_w,D4:22:CD:00:A9:12_quat_x,D4:22:CD:00:A9:12_quat_y,D4:22:CD:00:A9:12_quat_z,D4:22:CD:00:A1:93_acc_x,D4:22:CD:00:A1:93_acc_y,D4:22:CD:00:A1:93_acc_z,D4:22:CD:00:A1:93_gyro_x,D4:22:CD:00:A1:93_gyro_y,D4:22:CD:00:A1:93_gyro_z,D4:22:CD:00:A1:93_quat_w,D4:22:CD:00:A1:93_quat_x,D4:22:CD:00:A1:93_quat_y,D4:22:CD:00:A1:93_quat_z
84296,0.0,0.0,0.0,0.0,0.0,0.0,0.6809042692184448,-0.32939472794532776,-0.4283704161643982,-0.4943351149559021,0.0,0.0,0.0,0.0,0.0,0.0,0.3910839855670929,-0.671151876449585,-0.430799275636673,-0.4593695104122162
84462,8.939885139465332,-0.24619002640247345,4.066787242889404,0.5400245189666748,-0.2573307752609253,0.1130608543753624,0.6806330680847168,-0.3297550082206726,-0.42813077569007874,-0.4946760833263397,9.291558265686035,-1.235940933227539,-2.66910719871521,0.05150073394179344,1.1361600160598755,0.15609019994735718,0.3908754289150238,-0.6712101101875305,-0.43059617280960083,-0.4596524238586426
84629,8.930801391601562,-0.23233188688755035,4.075850009918213,0.45359447598457336,-0.3606652021408081,-0.13771948218345642,0.6800655126571655,-0.3302477300167084,-0.42803066968917847,-0.49521419405937195,9.326844215393066,-1.2009081840515137,-2.6571967601776123,0.1059277281165123,0.6694967746734619,0.11910545080900192,0.39075854420661926,-0.6711302399635315,-0.43083086609840393,-0.45964860916137695
84796,8.930254936218262,-0.22795461118221283,4.056602954864502,0.4565015733242035,-0.11765194684267044,-0.030760854482650757,0.6796929836273193,-0.3304532766342163,-0.42802178859710693,-0.49559617042541504,9.361602783203125,-1.1985300779342651,-2.6689021587371826,-0.0974050909280777,0.7619457840919495,0.21145203709602356,0.3905467391014099,-0.6709169149398804,-0.43110892176628113,-0.4598791301250458
84962,8.900847434997559,-0.22768281400203705,4.04582405090332,0.5698121786117554,-0.17315466701984406,0.1528373658657074,0.6794951558113098,-0.3305054008960724,-0.42816293239593506,-0.49571073055267334,9.336832046508789,-1.2065527439117432,-2.6317737102508545,-0.03718963637948036,1.0141412019729614,0.6130719780921936,0.39038726687431335,-0.6707148551940918,-0.43128693103790283,-0.46014222502708435
85129,8.943443298339844,-0.22368818521499634,4.096473693847656,0.48695504665374756,-0.19922837615013123,0.10677293688058853,0.6793419122695923,-0.3305357098579407,-0.4282924234867096,-0.49578866362571716,9.278566360473633,-1.257040023803711,-2.653306245803833,0.1681281477212906,0.7537112832069397,1.0206724405288696,0.3903602957725525,-0.6705618500709534,-0.4313097596168518,-0.46036678552627563
85296,8.972142219543457,-0.227675661444664,4.139839172363281,0.37536054849624634,-0.30780065059661865,0.1668219119310379,0.6793057322502136,-0.33047914505004883,-0.4284001290798187,-0.4957830309867859,9.315133094787598,-1.237119197845459,-2.6723763942718506,0.3510284423828125,0.30794787406921387,0.9444746375083923,0.39050912857055664,-0.670455276966095,-0.4314032196998596,-0.4603082537651062
85462,8.90342903137207,-0.2738224267959595,4.043097972869873,0.7476410269737244,-0.7263504862785339,0.618322491645813,0.6792131662368774,-0.3305228054523468,-0.4283944368362427,-0.49588561058044434,9.378890037536621,-1.2327474355697632,-2.6457035541534424,0.3431653380393982,0.549770176410675,0.5255661606788635,0.39057210087776184,-0.6704220175743103,-0.4313981533050537,-0.4603079855442047
85629,8.88150405883789,-0.2535095512866974,4.056146621704102,0.738023579120636,-0.8323615193367004,0.4224494397640228,0.6792894005775452,-0.33048543334007263,-0.4285198450088501,-0.49569758772850037,9.363492012023926,-1.2467155456542969,-2.6309032440185547,0.41707074642181396,0.9733273386955261,0.32660672068595886,0.39067795872688293,-0.6703287959098816,-0.4313695728778839,-0.46038079261779785
85796,9.033059120178223,-0.17777188122272491,4.104701519012451,0.3364548087120056,-0.6385501027107239,-0.48332440853118896,0.6791514158248901,-0.33055612444877625,-0.4285328984260559,-0.495828241109848,9.351095199584961,-1.2404931783676147,-2.6161246299743652,0.6108821034431458,1.143190860748291,0.24459488689899445,0.3909010887145996,-0.6701399087905884,-0.43142688274383545,-0.46041250228881836
