sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
383534,0.0,0.0,0.0,0.0,0.0,0.0,0.7043344974517822,-0.3160158097743988,-0.5045529007911682,-0.3866176009178161,0.0,0.0,0.0,0.0,0.0,0.0,0.3787795305252075,-0.6179336309432983,-0.3334423005580902,-0.6029099225997925
383701,9.358298301696776,-0.5364668369293213,2.8922970294952397,-0.1701579689979553,0.4374969005584717,0.1494437009096145,0.7044777870178223,-0.3157660365104675,-0.5044765472412109,-0.3866605162620544,9.814074516296388,-0.6815571784973145,0.1334211379289627,-0.1956682056188583,0.3042212128639221,0.722476601600647,0.3786673545837402,-0.618038535118103,-0.3330568671226501,-0.6030859351158142
383868,9.382441520690918,-0.5517411231994629,2.8867290019989014,0.0620531626045703,0.3170019686222076,0.2950775027275085,0.7046634554862976,-0.3156336545944214,-0.5041531324386597,-0.3868520557880401,9.829706192016602,-0.6679425239562988,0.1653816998004913,0.0673805996775627,0.2373976558446884,0.6604682207107544,0.3789646327495575,-0.6181413531303406,-0.3328574597835541,-0.6029039621353149
384034,9.35930633544922,-0.5519307851791382,2.916980028152466,0.3490626811981201,0.3016791939735412,0.2924458086490631,0.7047806978225708,-0.3156738877296448,-0.5038427710533142,-0.3870099782943725,9.774316787719728,-0.7022811770439148,0.1494140177965164,0.095541775226593,0.1803582459688186,0.6912675499916077,0.3791612982749939,-0.6181414127349854,-0.332560122013092,-0.6029441952705383
384201,9.357539176940918,-0.5511384010314941,2.8809633255004883,0.606066882610321,-0.5559363961219788,0.5774831175804138,0.7049357891082764,-0.3156982064247131,-0.5035934448242188,-0.3870322108268738,9.757667541503906,-0.6950602531433105,0.1380678564310073,0.486506849527359,-0.291754275560379,0.954118013381958,0.3796107769012451,-0.6181423664093018,-0.332451194524765,-0.6027204394340515
384368,9.436946868896484,-0.597233772277832,2.7975635528564453,0.3363267183303833,-0.0767228379845619,0.3958378434181213,0.7048979997634888,-0.315915584564209,-0.5033080577850342,-0.3872948288917541,9.775717735290527,-0.6239762306213379,0.1604274064302444,0.4184410572052002,-0.7453551292419434,0.6468807458877563,0.3797331154346466,-0.6183164715766907,-0.3322386741638183,-0.6025820970535278
384534,9.34087085723877,-0.5437910556793213,2.8862709999084477,0.6459971070289612,0.1280826926231384,0.1953416615724563,0.7048633694648743,-0.3160973489284515,-0.5033330917358398,-0.3871768414974212,9.862772941589355,-0.6556510329246521,0.1128543391823768,0.0806479901075363,-0.7480316758155823,0.2535848915576935,0.3798588514328003,-0.6182829737663269,-0.3323773741722107,-0.6024606227874756
384701,9.383030891418455,-0.5145344734191895,2.882545232772827,0.2788902819156647,0.2747282087802887,0.1184395253658294,0.7048047184944153,-0.316264808177948,-0.5032558441162109,-0.3872473537921905,9.843238830566406,-0.6550646424293518,0.1428623348474502,0.1660535186529159,-0.2392866313457489,0.5132080316543579,0.3797883689403534,-0.6183567643165588,-0.3323323130607605,-0.6024541258811951
384868,9.355955123901367,-0.5417203307151794,2.8914923667907715,0.520334780216217,-0.1504617929458618,0.3662615716457367,0.70480877161026,-0.3162757456302643,-0.5033079385757446,-0.3871632516384125,9.774934768676758,-0.6593837141990662,0.1082100048661232,0.1482398957014084,-0.1591188907623291,0.8491954207420349,0.379835844039917,-0.6183786988258362,-0.3323492109775543,-0.6023924946784973
385034,9.392419815063477,-0.5669640898704529,2.869701862335205,0.5736923813819885,-0.3746497929096222,0.4974562227725982,0.7046920657157898,-0.3164505660533905,-0.5032559633255005,-0.3873006105422973,9.76166820526123,-0.6524676084518433,0.1151862442493438,0.0782788097858429,-0.5429763793945312,0.8949524760246277,0.3797343671321869,-0.6185265183448792,-0.3322616815567016,-0.602353036403656
385201,9.371880531311035,-0.5360841751098633,2.878342628479004,0.3311913907527923,-0.0428372360765934,0.5306630730628967,0.7047702074050903,-0.316413551568985,-0.5033026933670044,-0.3871276080608368,9.78708839416504,-0.6671202182769775,0.1171301454305648,0.0109814442694187,-0.4943634867668152,0.82467120885849,0.3796602189540863,-0.6186516880989075,-0.3322146534919739,-0.6022971272468567
385368,9.366266250610352,-0.5367136597633362,2.870704412460327,0.4372792541980743,-0.0621876381337642,0.3830315470695495,0.7047820687294006,-0.3164229393005371,-0.5033159255981445,-0.3870813846588135,9.844307899475098,-0.6767328381538391,0.1137376949191093,-0.0315548442304134,-0.4494900703430176,0.6943922638893127,0.3795411586761474,-0.6187926530838013,-0.3321258127689361,-0.6022761464118958
385534,9.338934898376465,-0.5389201045036316,2.903183460235596,0.4004225134849548,-0.0304534994065761,0.4468839764595032,0.7047803997993469,-0.3164537847042084,-0.5033105611801147,-0.387065976858139,9.849281311035156,-0.6724341511726379,0.0917905420064926,0.013593940064311,-0.0813971534371376,0.5403959155082703,0.3795450627803802,-0.6188359260559082,-0.3321370184421539,-0.6022232174873352
385701,9.341156959533691,-0.540498673915863,2.864581823348999,0.6581374406814575,-0.1937600523233413,0.569107711315155,0.7048181891441345,-0.3164364099502563,-0.5033356547355652,-0.3869787156581878,9.83320426940918,-0.6845468878746033,0.103034108877182,0.1134450435638427,0.0848868861794471,0.6245977282524109,0.3796091675758362,-0.6188504099845886,-0.3321765959262848,-0.6021460294723511
385868,9.40408420562744,-0.5239573121070862,2.8902084827423096,0.5647792220115662,-0.2849796712398529,0.428980678319931,0.7048285603523254,-0.3164324760437011,-0.5033687949180603,-0.386920154094696,9.823830604553224,-0.6709858775138855,0.1120783388614654,0.1835982352495193,0.1804863065481186,0.4564887583255768,0.3796346783638,-0.6188697218894958,-0.3321831226348877,-0.6021064519882202
386034,9.38321018218994,-0.5386161804199219,2.880277395248413,0.3724790513515472,-0.2622868716716766,0.2372311949729919,0.7047485709190369,-0.3165185153484344,-0.5033434629440308,-0.3870285153388977,9.811446189880373,-0.6530511975288391,0.1258824914693832,0.1309000998735427,0.2215434312820434,0.3978484272956848,0.3796790838241577,-0.6188693642616272,-0.3322092890739441,-0.6020643711090088
386201,9.373374938964844,-0.548497200012207,2.854825496673584,0.4964317679405212,-0.1709903925657272,0.0569306351244449,0.7047121524810791,-0.3165196180343628,-0.503358781337738,-0.3870738744735718,9.801060676574709,-0.645963191986084,0.1208650767803192,-0.0406217388808727,0.1893739104270935,0.2370391637086868,0.3797283768653869,-0.6188468933105469,-0.3322719931602478,-0.6020219326019287
386368,9.401123046875,-0.5311597585678101,2.8607869148254395,0.6677934527397156,-0.1098912805318832,0.1603162884712219,0.7047050595283508,-0.316494882106781,-0.5033870935440063,-0.3870701491832733,9.790507316589355,-0.6512809991836548,0.1192164495587349,-0.1744352877140045,0.1421824842691421,0.1683842986822128,0.3797103464603424,-0.6188530921936035,-0.3322848379611969,-0.6020196676254272
