sampleTimeFine,D4:22:CD:00:A9:12_acc_x,D4:22:CD:00:A9:12_acc_y,D4:22:CD:00:A9:12_acc_z,D4:22:CD:00:A9:12_gyro_x,D4:22:CD:00:A9:12_gyro_y,D4:22:CD:00:A9:12_gyro_z,D4:22:CD:00:A9:12_quat_w,D4:22:CD:00:A9:12_quat_x,D4:22:CD:00:A9:12_quat_y,D4:22:CD:00:A9:12_quat_z,D4:22:CD:00:A1:93_acc_x,D4:22:CD:00:A1:93_acc_y,D4:22:CD:00:A1:93_acc_z,D4:22:CD:00:A1:93_gyro_x,D4:22:CD:00:A1:93_gyro_y,D4:22:CD:00:A1:93_gyro_z,D4:22:CD:00:A1:93_quat_w,D4:22:CD:00:A1:93_quat_x,D4:22:CD:00:A1:93_quat_y,D4:22:CD:00:A1:93_quat_z
1677408,-0.38770803809165955,0.35545411705970764,-0.4383452832698822,-0.32289478182792664,0.2054455578327179,-0.3866121768951416,0.7519474625587463,-0.2544754445552826,-0.5226876735687256,-0.3108294606208801,0.3745481073856354,0.375463604927063,0.39137014746665955,0.04671749845147133,-0.07166741043329239,-0.49765682220458984,0.39151865243911743,-0.5982863306999207,-0.5322068929672241,-0.4533458650112152
1677575,9.272526741027832,-0.5614568591117859,3.185997724533081,0.5751139521598816,-0.19167263805866241,0.6316283941268921,0.7519623041152954,-0.2545296549797058,-0.522634744644165,-0.3108381927013397,9.314488410949707,0.13444069027900696,-2.742130994796753,0.3761928975582123,-0.2906016707420349,1.0304948091506958,0.391266405582428,-0.598781943321228,-0.5315423607826233,-0.45368891954421997
1677742,9.28147029876709,-0.5723156929016113,3.216779947280884,0.5821958184242249,-0.19703848659992218,0.6312825679779053,0.7517881393432617,-0.2548239529132843,-0.5224743485450745,-0.31128746271133423,9.32059097290039,0.11892664432525635,-2.725123405456543,0.23677021265029907,-0.4360690712928772,1.1389391422271729,0.3913610279560089,-0.5988555550575256,-0.5315004587173462,-0.45355916023254395
1677908,9.265616416931152,-0.5690820813179016,3.174527645111084,0.38094407320022583,-0.1736028492450714,0.7321325540542603,0.7519416809082031,-0.25476154685020447,-0.522326648235321,-0.31121569871902466,9.335230827331543,0.10392452776432037,-2.7405028343200684,0.16802571713924408,-0.3320302367210388,1.1440616846084595,0.3915952742099762,-0.5988807082176208,-0.5314082503318787,-0.4534318447113037
1678075,9.27591609954834,-0.5629557967185974,3.1831247806549072,0.22447608411312103,-0.04810064658522606,0.6720708012580872,0.7518975734710693,-0.2549462616443634,-0.5221977233886719,-0.31138768792152405,9.351449966430664,0.10771625488996506,-2.7250804901123047,0.21234847605228424,-0.2828538119792938,0.9834955930709839,0.3916091024875641,-0.5992015600204468,-0.5310184955596924,-0.45345258712768555
1678242,9.26496696472168,-0.562544584274292,3.1817946434020996,0.11138322204351425,-0.036152325570583344,0.7687331438064575,0.7517684698104858,-0.25524410605430603,-0.5220539569854736,-0.31169599294662476,9.354303359985352,0.08081555366516113,-2.7264132499694824,0.37311938405036926,-0.129638671875,0.8404999375343323,0.3916870057582855,-0.5994039177894592,-0.5307050943374634,-0.4534849524497986
1678408,9.262656211853027,-0.5757800936698914,3.160780668258667,0.020035535097122192,0.03717042878270149,0.5403575897216797,0.7516766786575317,-0.25544121861457825,-0.5219598412513733,-0.31191352009773254,9.376545906066895,0.08929072320461273,-2.7470061779022217,0.36138877272605896,-0.012793542817234993,0.7541083097457886,0.39199984073638916,-0.5993523001670837,-0.5306647419929504,-0.4533299207687378
1678575,9.277358055114746,-0.5857362747192383,3.173694372177124,0.22461695969104767,0.06192510202527046,0.5862810611724854,0.7515875101089478,-0.2556361258029938,-0.52189701795578,-0.31207337975502014,9.359806060791016,0.10974673926830292,-2.7339415550231934,0.48730093240737915,0.12790343165397644,0.7292256355285645,0.39207395911216736,-0.5995553731918335,-0.5303530097007751,-0.45336201786994934
1678742,9.2766752243042,-0.5864372253417969,3.1920902729034424,0.2902238965034485,-0.0374329537153244,0.6354061961174011,0.7516010403633118,-0.2556780278682709,-0.5219242572784424,-0.3119613230228424,9.353984832763672,0.10412842780351639,-2.7360384464263916,0.3813026547431946,0.10842495411634445,0.5838991403579712,0.3921707570552826,-0.5996395945549011,-0.5301890969276428,-0.45335856080055237
1678908,9.282976150512695,-0.5817452073097229,3.192258596420288,0.24154697358608246,-0.14373847842216492,0.6431668996810913,0.751628041267395,-0.25571325421333313,-0.5219492316246033,-0.31182539463043213,9.369720458984375,0.12223470211029053,-2.7475175857543945,0.2338247299194336,0.393775999546051,0.49726414680480957,0.3923150599002838,-0.5996239185333252,-0.5301133990287781,-0.4533429443836212
