sampleTimeFine,D4:22:CD:00:A9:12_acc_x,D4:22:CD:00:A9:12_acc_y,D4:22:CD:00:A9:12_acc_z,D4:22:CD:00:A9:12_gyro_x,D4:22:CD:00:A9:12_gyro_y,D4:22:CD:00:A9:12_gyro_z,D4:22:CD:00:A9:12_quat_w,D4:22:CD:00:A9:12_quat_x,D4:22:CD:00:A9:12_quat_y,D4:22:CD:00:A9:12_quat_z,D4:22:CD:00:A1:93_acc_x,D4:22:CD:00:A1:93_acc_y,D4:22:CD:00:A1:93_acc_z,D4:22:CD:00:A1:93_gyro_x,D4:22:CD:00:A1:93_gyro_y,D4:22:CD:00:A1:93_gyro_z,D4:22:CD:00:A1:93_quat_w,D4:22:CD:00:A1:93_quat_x,D4:22:CD:00:A1:93_quat_y,D4:22:CD:00:A1:93_quat_z
1782889,-0.41892385482788086,0.1526476889848709,-0.3965960144996643,-0.621823787689209,0.448087215423584,-0.638340413570404,0.7296869158744812,-0.2394130676984787,-0.5610783696174622,-0.30891624093055725,-0.23046886920928955,-0.43337053060531616,0.09697776287794113,0.0211066585034132,-0.007475205231457949,-0.7350650429725647,0.3888443112373352,-0.6196954250335693,-0.5556874871253967,-0.3949543535709381
1783056,9.491647720336914,-0.026328038424253464,2.4994757175445557,0.5885605812072754,-0.3925530016422272,0.29498785734176636,0.7298370599746704,-0.23926877975463867,-0.5610342621803284,-0.3087539076805115,8.915459632873535,-0.42876580357551575,-3.7668514251708984,-0.08541834354400635,0.39647814631462097,0.23796117305755615,0.38891229033470154,-0.6195349097251892,-0.5559201836585999,-0.3948118984699249
1783223,9.471528053283691,-0.0009133161511272192,2.503840684890747,0.760639488697052,-0.3140372931957245,0.24915394186973572,0.7299143671989441,-0.23903410136699677,-0.5612518191337585,-0.3083573281764984,8.919082641601562,-0.44512295722961426,-3.7126896381378174,-0.14308534562587738,0.36441105604171753,0.20819923281669617,0.38895174860954285,-0.6195303201675415,-0.5561583042144775,-0.39444491267204285
1783389,9.48294448852539,-0.02757214941084385,2.5226688385009766,0.786700427532196,-0.3460659682750702,0.28612586855888367,0.7299867868423462,-0.23862417042255402,-0.5615114569664001,-0.3080304265022278,8.92702865600586,-0.4146183133125305,-3.7381415367126465,-0.0018441141583025455,0.31383880972862244,0.2809520959854126,0.3891759514808655,-0.6195873618125916,-0.5560224652290344,-0.39432549476623535
1783889,9.483328819274902,-0.008354020304977894,2.5377304553985596,0.7425826787948608,-0.23780111968517303,0.2252701073884964,0.7302356958389282,-0.2380772978067398,-0.5615557432174683,-0.3077828288078308,8.96026611328125,-0.3865272104740143,-3.7225635051727295,-0.176445871591568,0.4482414126396179,0.11627525091171265,0.3894300162792206,-0.6193546056747437,-0.5562012195587158,-0.3941883146762848
1784056,9.493914604187012,-0.00011464412091299891,2.533735513687134,0.6814194321632385,-0.2076805680990219,0.24736103415489197,0.7302922010421753,-0.23797638714313507,-0.5615271329879761,-0.30777907371520996,8.93449592590332,-0.3850681185722351,-3.745454788208008,-0.45091158151626587,0.46150878071784973,0.06616400927305222,0.38940343260765076,-0.6193163394927979,-0.5560973286628723,-0.39442121982574463
1784223,9.496333122253418,-0.009189578704535961,2.5162546634674072,0.7755206227302551,-0.20374903082847595,0.32017794251441956,0.7303661704063416,-0.2378331869840622,-0.5615329742431641,-0.30770328640937805,8.923842430114746,-0.3995267152786255,-3.728982925415039,-0.5976083278656006,0.4255742132663727,0.2569786012172699,0.38921672105789185,-0.6194390058517456,-0.555876612663269,-0.3947240710258484
1784389,9.491658210754395,-0.014930665493011475,2.5212976932525635,0.6450622081756592,-0.11571817100048065,0.4047894775867462,0.7304060459136963,-0.23777061700820923,-0.5615235567092896,-0.3076743483543396,8.924318313598633,-0.39645475149154663,-3.701317310333252,-0.6182394027709961,0.16940878331661224,0.36657536029815674,0.3891274929046631,-0.6194537878036499,-0.5558178424835205,-0.394871324300766
1784556,9.49264907836914,-0.020130470395088196,2.5473861694335938,0.48692941665649414,-0.16092459857463837,0.3383758068084717,0.7304701805114746,-0.23766052722930908,-0.5615534782409668,-0.3075525760650635,8.945486068725586,-0.42198777198791504,-3.7070493698120117,-0.5586897730827332,0.05399797111749649,0.712871789932251,0.3891269862651825,-0.6194307804107666,-0.5557929277420044,-0.3949430584907532
1784723,9.495906829833984,-0.008718508295714855,2.530184268951416,0.36188825964927673,-0.24027274549007416,0.33505895733833313,0.7304819822311401,-0.23766347765922546,-0.561538577079773,-0.30754953622817993,8.946819305419922,-0.42610153555870056,-3.7177894115448,-0.389415442943573,-0.00522499019280076,0.7220411896705627,0.38911908864974976,-0.6194841265678406,-0.5556793212890625,-0.3950271010398865
1784889,9.493926048278809,-0.014283372089266777,2.519491672515869,0.4117688834667206,-0.42085498571395874,0.3467511236667633,0.7304310202598572,-0.23775748908519745,-0.5615144371986389,-0.3076418340206146,8.913613319396973,-0.44746920466423035,-3.717585563659668,-0.12410634011030197,-0.14591556787490845,0.6607117056846619,0.3891960382461548,-0.6194512844085693,-0.5556824803352356,-0.39499837160110474
1785056,9.495084762573242,-0.021561190485954285,2.5027196407318115,0.5500518679618835,-0.2756054699420929,0.3894987106323242,0.7304352521896362,-0.23776358366012573,-0.5615187883377075,-0.30761900544166565,8.92513370513916,-0.44233396649360657,-3.719538450241089,0.2815668284893036,-0.45447176694869995,0.6429235339164734,0.38925454020500183,-0.6194863319396973,-0.5556577444076538,-0.39492037892341614
1785223,9.514338493347168,-0.006418823264539242,2.5246124267578125,0.878188967704773,-0.19717937707901,0.48868387937545776,0.7304744124412537,-0.2377125322818756,-0.5615501999855042,-0.30750834941864014,8.909327507019043,-0.43088504672050476,-3.7302162647247314,0.4852518141269684,-0.5991579294204712,0.4789383113384247,0.38925373554229736,-0.6195987462997437,-0.5555705428123474,-0.394867479801178
